4FGL Name, NS, NS_BIN, HMXB, LMXB, AGN, CV, YSO, HM-STAR, LM-STAR, gamma-candidate, coverage (%)
J1747.8--3006,7/1,0/0,0/0,1/0,0/0,0/0,2/2,0/0,4/0,4N,100
J1747.9--3224,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1N,80
J1748.3--2906,2/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,1/0,1N,100
J1750.4--3023,10/0,1/0,0/0,0/0,0/0,0/0,5/1,0/0,6/2,9N 1B,100
J1750.8--3106,15/2,0/0,0/0,4/2,0/0,1/1,5/3,0/0,3/2,14N,58
J1751.6--3002,36/5,0/0,0/0,3/1,0/0,0/0,7/4,1/0,13/2,27N,100
J1752.3--2914,5/2,0/0,0/0,1/0,0/0,0/0,1/0,0/0,2/1,4N,100
J1752.7--3040,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,1N,34
J1754.3--2915,11/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,6/1,8N,100
J1754.6--2933,4/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,3N,100
J1755.7--3259,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,,39
J1756.1--2516,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/1,,31
J1758.0--2953,3/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,3N,95
J1758.6--2404,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,,100
J1759.5--2312,2/0,0/0,0/0,0/0,0/0,0/0,3/2,0/0,1/0,2N,95
J1759.7--2354,1/0,0/0,0/0,0/0,0/0,0/0,2/1,0/0,3/3,1N,98
J1800.7--2355,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,100
J1800.9--2407,26/2,0/0,0/0,1/0,0/0,0/0,7/5,0/0,3/2,6N,100
J1801.6--2326,2/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,2N,100
J1804.9--3001,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,,25
J1806.2--2126,3/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,1/1,3N,100
J1809.0+5908,2/0,0/0,0/0,0/0,4/3,0/0,0/0,0/0,0/0,3A 2N,79
